nodeCount,packetsPerSecond,nodeSpeed,network_throughput,avg_end_to_end_delay,packet_drop_ratio,packet_delivery_ratio
100,100,10,1.6628469848632812,0.17632511029723336,0.834162582909335,0.08714056998878919
100,100,15,2.240780944824219,0.1610299604390784,0.8003364081137336,0.08667501286492216
100,100,20,0.9934133911132812,0.18063819022468605,0.8416766931016886,0.0797930394811832
100,100,5,2.6804843139648438,0.170588774852577,0.8105757450472423,0.10752121255798605
100,200,10,1.8835025024414063,0.21431554422110718,0.8835968502952848,0.0470951942005437
100,200,15,2.6813751220703126,0.2632809865139432,0.8607340125680639,0.05412186239420442
100,200,20,2.4369659423828125,0.21719970254172927,0.8815664996129879,0.0520394361351962
100,200,5,3.5049749755859376,0.20444992620097993,0.864716409935033,0.0625487449585189
100,300,10,3.041536865234375,0.22141959599261934,0.8824549273771323,0.040581194055058264
100,300,15,4.31408447265625,0.24342505787281035,0.8786410967864453,0.05021443040111409
100,300,20,2.7703375244140624,0.3096724570565259,0.8966096316081771,0.03747520693941237
100,300,5,3.6618927001953123,0.2581006654852552,0.8863395456271358,0.045780070033329116
100,400,10,2.866379699707031,0.2854542127957096,0.8953635954913125,0.0290725201621727
100,400,15,3.4322564697265623,0.404287221443416,0.8894982667177865,0.02998797884916451
100,400,20,1.9126593017578124,0.32769262712914526,0.9060055802039976,0.023837175772448586
100,400,5,4.806524963378906,0.32608531922822287,0.9017901000379386,0.03854455781633753
20,100,10,1.109775390625,0.01714054966916109,0.8385303983644627,0.1511879478374784
20,100,15,2.756905822753906,0.0902366507324976,0.5824724250427218,0.36558179276060276
20,100,20,1.9782760620117188,0.08824207391927658,0.6595319299070916,0.2666117840762084
20,100,5,1.3997860717773438,0.00594229690793938,0.8113188580619219,0.1777643747486932
20,200,10,1.7987893676757813,0.03244096900099801,0.8717198253903246,0.12010908110159926
20,200,15,3.72506591796875,0.18242659975293696,0.7158736734130272,0.24683394484554386
20,200,20,2.4470556640625,0.10617817869879224,0.7807176045431079,0.16358563996664152
20,200,5,2.341182861328125,0.07154023469669939,0.8362220097218902,0.15632719738624593
20,300,10,2.7380755615234373,0.12985409229629247,0.8386721487024232,0.12801258576697822
20,300,15,4.746645202636719,0.157394855734377,0.7450541592732859,0.20808284117693795
20,300,20,3.204737243652344,0.14392919098003976,0.7745489382085262,0.14065410612592474
20,300,5,3.2503591918945314,0.05464193789521107,0.8272208638956805,0.14707694754209155
20,400,10,3.1578369140625,0.1261778076992432,0.8575513646503411,0.10682649552602293
20,400,15,4.998026123046875,0.15408326007733567,0.7885848225018031,0.1606098245051687
20,400,20,4.111250610351562,0.15417984162349618,0.7993850270049018,0.13609272514900117
20,400,5,3.9049493408203126,0.036767502971640144,0.8647534414010059,0.12717654837998676
40,100,10,1.5440475463867187,0.1902199579572327,0.8050766606597346,0.13024120883886325
40,100,15,2.386830139160156,0.12885617538983873,0.7786856711857195,0.17928907111222853
40,100,20,2.2883755493164064,0.1598814107889433,0.7589115646258503,0.17068999028182702
40,100,5,1.8507177734375,0.1527402121821035,0.8049254698639015,0.16093553429148716
40,200,10,2.05079833984375,0.26324329931489,0.8546933520599251,0.09131164169787766
40,200,15,3.519783630371094,0.18910987563398093,0.8277240115110183,0.12859719320376867
40,200,20,3.3024798583984376,0.15857498169141093,0.7980709056412599,0.11588473114861576
40,200,5,2.6492733764648437,0.1786948465420719,0.8492205431588591,0.1122378866218014
40,300,10,2.6764288330078125,0.24229979117943215,0.8791601717620773,0.07370412235576368
40,300,15,4.014794006347656,0.20627839546631668,0.8500655454767033,0.10101249645922676
40,300,20,4.407504272460938,0.18057673749319825,0.8395538935036568,0.10582453585729887
40,300,5,3.6078521728515627,0.2049977634560584,0.8764518732140967,0.08922571171552546
40,400,10,2.554817810058594,0.27998896668379303,0.8861705084678461,0.05443792562590585
40,400,15,4.816250305175782,0.2909951791521645,0.8616618028574775,0.08675357558509007
40,400,20,4.968203125,0.2761561259435248,0.8538836202259952,0.08553495620936452
40,400,5,3.98301025390625,0.16309836602186695,0.8876095356163802,0.07254980705767317
70,100,10,2.640758056640625,0.18273734783522275,0.7882013310414738,0.12441050729428357
70,100,15,1.8163973999023437,0.18704592567456468,0.8167801121364836,0.09898117241529769
70,100,20,1.98512451171875,0.19180670247953702,0.7971552223768951,0.11090949468906233
70,100,5,2.4489715576171873,0.17133564717761218,0.8288114787637415,0.12593905998526964
70,200,10,3.6195578002929687,0.2462847180234037,0.8535185288692638,0.08526074562629254
70,200,15,1.2271408081054687,0.2777214731972108,0.8875219438015051,0.042693972023749624
70,200,20,2.747835388183594,0.17754986145393048,0.8312732717130494,0.06854488420358716
70,200,5,3.526800231933594,0.18954198453488455,0.8706352107527486,0.08036442369878806
70,300,10,3.4367636108398436,0.3335473398324422,0.8714696606108592,0.05895453360025667
70,300,15,2.7850161743164064,0.30940945912537227,0.8822289870669381,0.04800698392868566
70,300,20,4.388497924804687,0.22620389429190266,0.8699327725084152,0.06710707290410345
70,300,5,4.228826293945312,0.2690656766425654,0.9008089142883027,0.0637694726392197
70,400,10,5.0958688354492185,0.35078274140958093,0.8850130429528961,0.055907711334930235
70,400,15,3.5387399291992185,0.2563038158513296,0.9056015605030509,0.03726757743610834
70,400,20,4.189740295410156,0.3009333025446566,0.8883475182250126,0.04620465803287973
70,400,5,4.275650939941406,0.27071123184436735,0.9133030070201201,0.049532820446543835
